0D0F4	strcpy
203C4	smart_strcpy

221BE	smallprint
0828A	line_print.col_0
0828C	line_print
221BA	printline

08766	render.e3d4
08772	render.ddd4
08B3C	render_bitmap

0F7CC	getscancode
2A9DA	getscancode_nodelay
09C06	getkeycode
252E6	cvt_key
0937C	setsfr
08170	line_draw
08508	pixel_draw
083DE	draw_glyph
0B3DC	line_print__call__
0835C	char_print_1byte
08362	char_print
07F6C	buffer_clear

16458	num_div
1D66E	num_fromdigit
1385A	num_random
13960	num_randint
1D9AA	num_to_byte
226AE	num_to_str
086DE	draw_byte

0d0f4	strcat
22dc0	memcpy
187cc	memcpy_indr
26a22	memcpy_auto_jump
09aa6	memmove
25378	strlen
0f22c	memset
203d6	smart_strcat
203b8	smart_strlen
09024	memzero
091d6	delay
0946a	_start
24e40	main
0874c	buf1_to_buf2
0874c	buf2_to_buf1
26354	byte_strlen_n
2248c	render_waitshift
1f2a4	waitshift
221d0	waitshift_blank
2241c	hex_byte
08c2c	hex_to_dec
1f5e8	getkey
252e6	cvt_keycode
2a9e0	getkey_er8
0937c	setsfr
07f6c	buffer_clear
09d8e	ENTER
09d96	LEAVE
2111a	LEAVE1
138f8	LEAVE2
13cd0	LEAVE3
2111a	LEAVE4
177da	calc_func
08f10	ea_switchcase
1da48	num_frombyte
1ed70	num_to_hex

d_0D000		 reg0
d_0D009		 reg0.9
d_0D0F5		 shutdown_bool
d_0D110		 modifiers
d_0D111		 mode
d_0D112		 submode
d_0D11A		 num_format
d_0D113		 cursor_bool
d_0D11B		 num_format_i
d_0D11D		 angle_unit
d_0D138		 draw_mode
d_0D139		 buffer_index
d_0D180		 input_range; input_area
d_0D318		 unstable_char
d_0D31A		 var_m
d_0D324		 var_ans
d_0D32E		 var_a
d_0D338		 var_b
d_0D342		 var_c
d_0D34C		 var_d
d_0D356		 var_e
d_0D360		 var_f
d_0D36A		 var_x
d_0D374		 var_y
d_0D37E		 var_preans
d_0D388		 var_z
d_0D392		 calc_history
d_0DDD4		 screen_buffer_1
d_0E3D4		 screen_buffer_2
d_0F800		 main_buffer
d_0D137		 font_size
d_0D113		 cursor_noflash
d_0DBD0		 magic_string
d_083DA		 basen_keytable
d_07B0E		 normal_keytable
d_0F000		 hardware.dsr
d_0F008		 d_0F008
d_0F00A		 d_0F00A
d_0F010		 d_0F010
d_0F014		 d_0F014
d_0F018		 d_0F018
d_0F020		 timer.interval
d_0F022		 timer.counter
d_0F024		 d_0F024
d_0F025		 timer.control
d_0F030		 screen.range
d_0F031		 screen.mode
d_0F032		 screen.contrast
d_0F033		 screen.contrast2
d_0F034		 d_0F034
d_0F040		 keyboard.ki
d_0F041		 d_0F041
d_0F042		 keyboard.ki_filter
d_0F044		 keyboard.ko_mask
d_0F045		 d_0F045
d_0F046		 keyboard.ko
d_0F047		 d_0F047
d_0F048		 d_0F048
d_0F049		 d_0F049
d_0F221		 d_0F221
d_0F222		 d_0F222
d_0F223		 d_0F223
d_0F800		 screen.disp
d_0F801		 screen.disp.1
d_0F802		 screen.disp.2
d_0F80A		 screen.disp.A
d_0F80B		 screen.disp.B

d_00180    key_shift
d_00280    key_alpha
d_01080    key_menu
d_00480    key_up
d_00840    key_down
d_00440    key_left
d_00880    key_right
d_00140    key_optn
d_00240    key_calc
d_01040    key_intg
d_02040    key_x
d_00120    key_frac
d_00220    key_sqrt
d_00420    key_sqr
d_00820    key_power
d_01020    key_logb
d_02020    key_inx
d_00110    key_neg
d_00210    key_deg
d_00410    key_inv
d_00810    key_sin
d_01010    key_cos
d_02010    key_tan
d_00108    key_sto
d_00208    key_eng
d_00408    key_lpar
d_00808    key_rpar
d_01008    key_std
d_02008    key_addm
d_04010    key_0
d_00101    key_1
d_00201    key_2
d_00401    key_3
d_00102    key_4
d_00202    key_5
d_00402    key_6
d_00104    key_7
d_00204    key_8
d_00404    key_9
d_04008    key_dot
d_00804    key_del
d_01004    key_ac
d_04001    key_exe
d_04002    key_ans
d_04004    key_exp
d_00801    key_add
d_01001    key_sub
d_00802    key_mul
d_01002    key_div
